Player,DRtg,Season,ORtg,USG%,VORP,WS,PER,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Year,Pos,Cluster,Role,PC1,PC2,PC3
Markel Brown,107,2014-15,95.0,15.3,-0.1,0.5,9.1,23.0,BRK,NBA,47.0,29.0,781.0,5.0,13.9,3.9,9.7,1.1,4.2,3.1,3.8,1.1,6.0,7.1,2.6,2.1,0.8,1.8,3.8,14.3,0.36200000000000004,0.40399999999999997,0.266,0.402,0.825,0.45899999999999996,2014,SG,5,Perimeter Scorer,-3.5758028016859496,-0.43029698951846507,-1.923510646867946
Kobe Bryant,110,2014-15,96.0,34.9,0.7,0.2,17.6,36.0,LAL,NBA,35.0,35.0,1207.0,11.3,30.2,9.0,22.4,2.3,7.8,8.3,10.2,1.1,7.3,8.4,8.3,2.0,0.3,5.4,2.8,33.1,0.373,0.401,0.293,0.41100000000000003,0.813,0.47700000000000004,2014,SG,2,Do It All,2.6136077735433365,6.186244376444647,-4.660686915090167
Chase Budinger,113,2014-15,106.0,16.3,-0.3,1.3,12.2,26.0,MIN,NBA,67.0,4.0,1286.0,6.7,15.4,4.6,9.8,2.1,5.7,2.6,3.2,1.3,6.5,7.8,2.5,1.7,0.4,1.9,2.8,18.1,0.433,0.474,0.364,0.5,0.8270000000000001,0.537,2014,SF,1,3&D,-2.039295644727212,0.2619219247651352,0.9082364831463996
Trey Burke,108,2014-15,100.0,23.9,0.1,2.4,12.6,22.0,UTA,NBA,76.0,43.0,2288.0,8.6,23.3,5.7,14.3,2.9,9.1,2.5,3.4,0.7,4.0,4.7,7.6,1.5,0.3,2.9,2.8,22.6,0.368,0.4,0.318,0.43,0.752,0.455,2014,PG,1,3&D,-1.963873198588415,3.2651637363976005,-1.812246490781705
Alec Burks,109,2014-15,107.0,20.8,0.1,1.7,13.0,23.0,UTA,NBA,27.0,27.0,899.0,7.1,17.7,5.6,13.7,1.5,4.0,6.3,7.6,1.1,5.6,6.7,4.8,1.0,0.3,3.1,3.8,22.1,0.40299999999999997,0.409,0.382,0.447,0.8220000000000001,0.524,2014,SG,1,3&D,-0.48065914192310183,1.8631513767069026,-1.239332505601891
Caron Butler,109,2014-15,108.0,12.9,0.2,2.4,9.3,34.0,DET,NBA,78.0,21.0,1623.0,5.1,12.6,2.5,5.6,2.6,7.0,1.8,1.9,0.7,5.6,6.2,2.5,1.4,0.1,1.6,3.8,14.7,0.40700000000000003,0.441,0.379,0.511,0.902,0.544,2014,SF,1,3&D,-3.654486313256561,-0.22446323822383552,1.9684178099084888
Jimmy Butler,104,2014-15,122.0,21.6,4.2,11.2,21.3,25.0,CHI,NBA,65.0,65.0,2513.0,8.7,18.8,7.2,14.8,1.5,4.0,7.9,9.5,2.3,5.5,7.8,4.4,2.3,0.7,1.9,2.2,26.8,0.462,0.484,0.37799999999999995,0.502,0.8340000000000001,0.583,2014,SG,4,Superstar,3.993748947900296,2.588740989685364,1.5664485177232976
Rasual Butler,105,2014-15,104.0,17.9,0.1,2.6,11.4,35.0,WAS,NBA,75.0,1.0,1505.0,7.4,17.6,4.3,9.6,3.1,8.0,1.8,2.3,0.9,5.8,6.7,2.1,1.0,0.7,1.6,3.3,19.7,0.42200000000000004,0.45,0.387,0.51,0.7909999999999999,0.531,2014,SF,1,3&D,-2.0630950076744106,0.5581324821569468,1.074284646667158
Nick Calathes,99,2014-15,93.0,17.9,0.4,1.1,12.3,25.0,MEM,NBA,58.0,0.0,838.0,6.5,15.4,5.8,12.7,0.7,2.7,1.5,2.8,1.2,5.4,6.6,9.1,3.9,0.3,3.8,6.2,15.1,0.42100000000000004,0.456,0.256,0.44299999999999995,0.5329999999999999,0.455,2014,SG,1,3&D,-1.7966399578210646,-0.7098531794615079,-3.2507715853021364
José Calderón,113,2014-15,103.0,16.1,-0.4,0.9,11.3,33.0,NYK,NBA,42.0,42.0,1270.0,6.1,14.7,3.6,8.8,2.4,5.9,1.2,1.3,0.8,4.4,5.1,8.2,1.3,0.0,3.1,3.2,15.8,0.415,0.415,0.415,0.499,0.9059999999999999,0.519,2014,PG,1,3&D,-3.617374436447786,1.2503452655780223,0.5228046593772573
Kentavious Caldwell-Pope,109,2014-15,101.0,19.5,0.6,2.8,11.2,21.0,DET,NBA,82.0,82.0,2587.0,7.8,19.4,4.7,10.6,3.1,8.9,2.2,3.2,0.9,4.2,5.1,2.2,1.9,0.4,1.9,3.2,20.9,0.401,0.449,0.345,0.48,0.696,0.501,2014,SG,1,3&D,-2.2287891340135193,1.493575554547359,0.14598030565336384
Isaiah Canaan,108,2014-15,103.0,21.6,-0.1,1.4,12.4,23.0,TOT,NBA,47.0,21.0,938.0,7.8,20.1,2.9,7.0,4.8,13.1,2.6,3.2,1.0,3.7,4.6,5.2,1.5,0.2,3.3,4.4,23.0,0.386,0.41700000000000004,0.37,0.507,0.8170000000000001,0.534,2014,PG,1,3&D,-2.6679509201239027,2.8746313595224318,0.8099205918481719
Isaiah Canaan,108,2014-15,103.0,21.6,-0.1,1.4,12.4,23.0,TOT,NBA,47.0,21.0,938.0,7.8,20.1,2.9,7.0,4.8,13.1,2.6,3.2,1.0,3.7,4.6,5.2,1.5,0.2,3.3,4.4,23.0,0.386,0.41700000000000004,0.37,0.507,0.8170000000000001,0.534,2014,PG,1,3&D,-2.6679509201239027,2.8746313595224318,0.8099205918481719
Isaiah Canaan,108,2014-15,103.0,21.6,-0.1,1.4,12.4,23.0,TOT,NBA,47.0,21.0,938.0,7.8,20.1,2.9,7.0,4.8,13.1,2.6,3.2,1.0,3.7,4.6,5.2,1.5,0.2,3.3,4.4,23.0,0.386,0.41700000000000004,0.37,0.507,0.8170000000000001,0.534,2014,PG,1,3&D,-2.6679509201239027,2.8746313595224318,0.8099205918481719
DeMarre Carroll,104,2014-15,117.0,16.9,2.7,7.0,15.9,28.0,ATL,NBA,70.0,69.0,2189.0,7.4,15.2,4.6,8.1,2.8,7.1,3.0,4.2,2.3,6.4,8.7,2.8,2.2,0.4,1.8,3.6,20.6,0.48700000000000004,0.5670000000000001,0.395,0.579,0.7020000000000001,0.603,2014,SF,8,All Star,0.9635611996129291,-0.14236148773520366,3.4435555563521225
Vince Carter,103,2014-15,94.0,19.9,0.2,1.0,9.6,38.0,MEM,NBA,66.0,1.0,1091.0,6.5,19.4,3.2,8.3,3.3,11.1,2.2,2.7,1.3,5.1,6.4,3.8,2.1,0.7,2.1,4.9,18.4,0.33299999999999996,0.379,0.297,0.41700000000000004,0.789,0.445,2014,SG,5,Perimeter Scorer,-3.7403122456127798,1.3174814495828928,-1.6801148797680907
Michael Carter-Williams,103,2014-15,91.0,26.7,0.7,0.8,14.1,23.0,TOT,NBA,66.0,63.0,2149.0,8.5,21.6,7.7,18.0,0.8,3.6,4.7,6.8,1.5,6.8,8.3,10.4,2.6,0.7,5.9,3.9,22.7,0.396,0.428,0.235,0.41600000000000004,0.6940000000000001,0.461,2014,PG,2,Do It All,0.7017546073629989,2.4638458033201913,-4.841469705947142
Michael Carter-Williams,103,2014-15,91.0,26.7,0.7,0.8,14.1,23.0,TOT,NBA,66.0,63.0,2149.0,8.5,21.6,7.7,18.0,0.8,3.6,4.7,6.8,1.5,6.8,8.3,10.4,2.6,0.7,5.9,3.9,22.7,0.396,0.428,0.235,0.41600000000000004,0.6940000000000001,0.461,2014,PG,2,Do It All,0.7017546073629989,2.4638458033201913,-4.841469705947142
Michael Carter-Williams,103,2014-15,91.0,26.7,0.7,0.8,14.1,23.0,TOT,NBA,66.0,63.0,2149.0,8.5,21.6,7.7,18.0,0.8,3.6,4.7,6.8,1.5,6.8,8.3,10.4,2.6,0.7,5.9,3.9,22.7,0.396,0.428,0.235,0.41600000000000004,0.6940000000000001,0.461,2014,PG,2,Do It All,0.7017546073629989,2.4638458033201913,-4.841469705947142
Omri Casspi,110,2014-15,110.0,18.7,0.3,2.7,14.4,26.0,SAC,NBA,67.0,19.0,1416.0,7.4,15.2,6.2,12.1,1.2,3.1,5.0,6.8,1.9,7.3,9.2,3.6,1.1,0.3,3.1,3.8,21.1,0.489,0.512,0.402,0.53,0.733,0.58,2014,SF,2,Do It All,0.8452161320206698,0.09166877363694918,0.6952627721536779
Mario Chalmers,107,2014-15,100.0,18.9,0.6,2.8,11.7,28.0,MIA,NBA,80.0,37.0,2368.0,6.0,14.8,4.3,9.3,1.6,5.5,4.6,5.9,0.5,4.1,4.6,6.8,2.7,0.2,3.9,5.6,18.1,0.40299999999999997,0.467,0.294,0.45799999999999996,0.774,0.521,2014,PG,1,3&D,-1.6554421634645222,1.1460398226414814,-1.0720119206317835
Tyson Chandler,103,2014-15,133.0,12.8,3.6,10.3,20.1,32.0,DAL,NBA,75.0,75.0,2286.0,6.5,9.7,6.5,9.7,0.0,0.0,4.1,5.7,6.5,12.6,19.1,1.9,0.9,2.0,2.3,3.7,17.0,0.6659999999999999,0.6659999999999999,0.0,0.6659999999999999,0.72,0.6970000000000001,2014,C,6,Star Inside Big,6.227002437282872,-5.317519638426543,4.8004878721256325
Wilson Chandler,109,2014-15,104.0,20.1,1.3,3.6,13.2,27.0,DEN,NBA,78.0,75.0,2471.0,8.4,19.7,5.6,11.5,2.8,8.2,2.2,2.9,1.9,7.7,9.6,2.7,1.2,0.6,2.2,4.7,21.9,0.429,0.49,0.342,0.5,0.775,0.523,2014,SF,7,Elite Wing,-0.47356073085215306,0.6679989810803189,0.5296066310245249
Jordan Clarkson,112,2014-15,107.0,23.0,0.6,2.4,16.9,22.0,LAL,NBA,59.0,38.0,1476.0,9.2,20.6,7.9,16.4,1.3,4.2,4.5,5.5,1.9,4.7,6.6,7.1,1.8,0.4,3.3,3.8,24.3,0.44799999999999995,0.48200000000000004,0.314,0.48,0.8290000000000001,0.528,2014,PG,2,Do It All,0.9245936202091158,2.266911480635364,-0.9411745524216116
Norris Cole,109,2014-15,99.0,17.5,-0.5,1.4,10.9,26.0,TOT,NBA,75.0,25.0,1831.0,6.6,16.1,5.0,11.0,1.6,5.1,1.7,2.3,0.4,4.2,4.6,7.3,1.6,0.4,2.8,3.6,16.5,0.41200000000000003,0.45799999999999996,0.313,0.461,0.716,0.483,2014,PG,1,3&D,-2.8956796044339397,0.5987402569054934,-0.9743599365394825
Norris Cole,109,2014-15,99.0,17.5,-0.5,1.4,10.9,26.0,TOT,NBA,75.0,25.0,1831.0,6.6,16.1,5.0,11.0,1.6,5.1,1.7,2.3,0.4,4.2,4.6,7.3,1.6,0.4,2.8,3.6,16.5,0.41200000000000003,0.45799999999999996,0.313,0.461,0.716,0.483,2014,PG,1,3&D,-2.8956796044339397,0.5987402569054934,-0.9743599365394825
Norris Cole,109,2014-15,99.0,17.5,-0.5,1.4,10.9,26.0,TOT,NBA,75.0,25.0,1831.0,6.6,16.1,5.0,11.0,1.6,5.1,1.7,2.3,0.4,4.2,4.6,7.3,1.6,0.4,2.8,3.6,16.5,0.41200000000000003,0.45799999999999996,0.313,0.461,0.716,0.483,2014,PG,1,3&D,-2.8956796044339397,0.5987402569054934,-0.9743599365394825
Darren Collison,110,2014-15,112.0,20.9,1.4,3.8,17.5,27.0,SAC,NBA,45.0,45.0,1565.0,8.4,17.7,6.4,12.5,1.9,5.2,4.7,5.9,0.6,4.0,4.6,8.1,2.2,0.5,3.6,3.1,23.3,0.473,0.514,0.373,0.527,0.7879999999999999,0.575,2014,PG,2,Do It All,0.8800019538766316,2.371840366248184,0.9458482778936573
Nick Collison,105,2014-15,108.0,12.8,0.6,2.2,11.2,34.0,OKC,NBA,66.0,2.0,1101.0,4.8,11.5,4.1,8.8,0.7,2.7,2.0,3.0,4.1,7.3,11.4,4.1,1.6,1.1,2.0,7.1,12.4,0.419,0.466,0.267,0.451,0.6920000000000001,0.485,2014,PF,1,3&D,-1.7954013347565052,-3.1574103924633143,-0.8158507705711121
Mike Conley,104,2014-15,110.0,23.7,2.6,6.8,18.6,27.0,MEM,NBA,70.0,70.0,2225.0,9.2,20.7,6.7,14.2,2.5,6.5,5.0,5.8,0.7,4.2,4.9,8.8,2.1,0.3,3.7,3.3,26.0,0.446,0.473,0.386,0.506,0.8590000000000001,0.5579999999999999,2014,PG,8,All Star,1.6540092818563807,3.6120373673528166,0.45179920057709366
Chris Copeland,106,2014-15,88.0,21.3,-0.5,-0.1,7.4,30.0,IND,NBA,50.0,12.0,828.0,7.0,19.3,3.7,8.9,3.2,10.4,2.1,2.8,1.4,5.5,6.9,3.2,0.7,0.7,3.7,4.9,19.2,0.361,0.42,0.311,0.445,0.733,0.46799999999999997,2014,SF,5,Perimeter Scorer,-3.4096818462428202,1.068754184342899,-1.8832473851853182
DeMarcus Cousins,101,2014-15,104.0,34.1,3.4,6.0,25.2,24.0,SAC,NBA,59.0,59.0,2013.0,12.5,26.7,12.4,26.5,0.1,0.2,10.6,13.5,4.6,14.1,18.7,5.3,2.3,2.6,6.4,6.0,35.5,0.467,0.469,0.25,0.46799999999999997,0.782,0.545,2014,C,6,Star Inside Big,9.334760702002331,2.4541595105785574,-4.796044460631027
Robert Covington,104,2014-15,104.0,21.8,1.1,4.0,14.7,24.0,PHI,NBA,70.0,49.0,1956.0,7.7,19.4,3.4,7.9,4.3,11.4,4.6,5.6,1.7,6.4,8.1,2.7,2.5,0.8,3.3,4.8,24.2,0.396,0.426,0.374,0.506,0.82,0.5539999999999999,2014,SF,7,Elite Wing,-0.5246490641969939,2.2356221915512173,0.6101028380821127
Allen Crabbe,105,2014-15,108.0,11.5,0.3,1.3,8.7,22.0,POR,NBA,51.0,9.0,683.0,4.7,11.4,2.5,5.1,2.2,6.3,0.9,1.2,0.5,4.9,5.4,2.9,1.4,1.1,1.1,5.5,12.5,0.41200000000000003,0.485,0.353,0.51,0.75,0.525,2014,SG,5,Perimeter Scorer,-3.839074156418749,-1.8759932847750225,1.680284981423677
Jamal Crawford,109,2014-15,106.0,27.6,0.4,3.6,16.6,34.0,LAC,NBA,64.0,4.0,1703.0,9.9,25.0,6.3,14.1,3.5,10.8,6.8,7.5,0.5,3.2,3.7,4.7,1.8,0.4,2.7,3.2,30.1,0.396,0.44799999999999995,0.327,0.467,0.9009999999999999,0.532,2014,SG,7,Elite Wing,0.5764309295944459,4.952253839446964,-0.34153572249549224
Jae Crowder,104,2014-15,108.0,17.5,1.1,3.9,13.9,24.0,TOT,NBA,82.0,17.0,1647.0,7.0,16.6,5.1,10.3,1.9,6.3,3.3,4.3,2.2,6.7,8.9,2.9,2.2,0.8,1.5,4.2,19.1,0.42,0.499,0.293,0.47600000000000003,0.773,0.517,2014,SF,7,Elite Wing,-0.5338885019189353,-0.19663066565899157,0.32875090611957325
Jae Crowder,104,2014-15,108.0,17.5,1.1,3.9,13.9,24.0,TOT,NBA,82.0,17.0,1647.0,7.0,16.6,5.1,10.3,1.9,6.3,3.3,4.3,2.2,6.7,8.9,2.9,2.2,0.8,1.5,4.2,19.1,0.42,0.499,0.293,0.47600000000000003,0.773,0.517,2014,SF,7,Elite Wing,-0.5338885019189353,-0.19663066565899157,0.32875090611957325
Jae Crowder,104,2014-15,108.0,17.5,1.1,3.9,13.9,24.0,TOT,NBA,82.0,17.0,1647.0,7.0,16.6,5.1,10.3,1.9,6.3,3.3,4.3,2.2,6.7,8.9,2.9,2.2,0.8,1.5,4.2,19.1,0.42,0.499,0.293,0.47600000000000003,0.773,0.517,2014,SF,7,Elite Wing,-0.5338885019189353,-0.19663066565899157,0.32875090611957325
Dante Cunningham,108,2014-15,102.0,10.9,0.2,1.6,8.9,27.0,NOP,NBA,66.0,27.0,1652.0,4.9,10.8,4.9,10.5,0.0,0.3,0.9,1.5,2.2,5.9,8.1,1.6,1.5,1.2,1.1,3.2,10.8,0.457,0.46799999999999997,0.1,0.45899999999999996,0.617,0.473,2014,PF,3,Backup Inside Big,-2.7781044507316373,-3.462447697649733,-0.7864737672884936
Stephen Curry,101,2014-15,122.0,28.9,7.9,15.7,28.0,26.0,GSW,NBA,80.0,80.0,2613.0,12.2,25.1,6.9,13.0,5.3,12.1,5.8,6.3,1.0,5.3,6.4,11.6,3.0,0.3,4.7,3.0,35.5,0.48700000000000004,0.528,0.44299999999999995,0.594,0.914,0.638,2014,PG,4,Superstar,6.044591519484161,6.701099803355348,3.8991106520325265
Samuel Dalembert,104,2014-15,90.0,15.0,0.0,0.3,11.8,33.0,NYK,NBA,32.0,21.0,544.0,5.5,12.6,5.5,12.6,0.0,0.0,1.4,1.9,5.1,11.1,16.3,2.8,1.4,4.0,3.8,6.8,12.4,0.43799999999999994,0.43799999999999994,0.0,0.43799999999999994,0.7,0.461,2014,C,3,Backup Inside Big,-0.4360916103516068,-4.851229378592048,-3.729780784054774
Brandon Davies,106,2014-15,94.0,18.9,-0.1,0.2,10.5,23.0,TOT,NBA,27.0,6.0,423.0,6.5,16.3,5.6,12.2,1.0,4.0,2.9,4.4,4.5,5.4,9.9,3.6,2.1,0.8,3.4,7.0,16.9,0.401,0.456,0.235,0.431,0.649,0.46299999999999997,2014,PF,5,Perimeter Scorer,-1.4396845116428578,-1.3333728797668263,-3.0254403781892343
Brandon Davies,106,2014-15,94.0,18.9,-0.1,0.2,10.5,23.0,TOT,NBA,27.0,6.0,423.0,6.5,16.3,5.6,12.2,1.0,4.0,2.9,4.4,4.5,5.4,9.9,3.6,2.1,0.8,3.4,7.0,16.9,0.401,0.456,0.235,0.431,0.649,0.46299999999999997,2014,PF,5,Perimeter Scorer,-1.4396845116428578,-1.3333728797668263,-3.0254403781892343
Brandon Davies,106,2014-15,94.0,18.9,-0.1,0.2,10.5,23.0,TOT,NBA,27.0,6.0,423.0,6.5,16.3,5.6,12.2,1.0,4.0,2.9,4.4,4.5,5.4,9.9,3.6,2.1,0.8,3.4,7.0,16.9,0.401,0.456,0.235,0.431,0.649,0.46299999999999997,2014,PF,5,Perimeter Scorer,-1.4396845116428578,-1.3333728797668263,-3.0254403781892343
Anthony Davis,100,2014-15,122.0,27.8,5.7,14.0,30.8,21.0,NOP,NBA,68.0,68.0,2455.0,13.7,25.7,13.7,25.4,0.0,0.3,7.9,9.9,3.7,11.2,14.9,3.2,2.1,4.3,2.0,3.0,35.4,0.535,0.54,0.083,0.536,0.805,0.591,2014,PF,4,Superstar,10.63192798852214,1.2307424374882239,-0.15393950866559958
Ed Davis,107,2014-15,124.0,14.8,2.3,6.3,20.0,25.0,LAL,NBA,79.0,24.0,1840.0,7.8,13.0,7.8,13.0,0.0,0.0,2.6,5.2,6.4,10.3,16.7,2.6,1.4,2.7,1.6,5.6,18.2,0.601,0.601,0.0,0.601,0.48700000000000004,0.594,2014,PF,6,Star Inside Big,4.61807806630063,-5.160300016928202,1.7985863651554965
Glen Davis,104,2014-15,100.0,16.7,-0.1,1.4,10.8,29.0,LAC,NBA,74.0,0.0,904.0,6.6,14.3,6.6,14.1,0.0,0.2,3.4,5.3,2.4,7.1,9.5,2.2,2.3,1.2,2.2,7.4,16.5,0.45899999999999996,0.466,0.0,0.45899999999999996,0.632,0.495,2014,PF,3,Backup Inside Big,-0.2189199898821063,-2.837990017895724,-2.5667736870829643
Dewayne Dedmon,104,2014-15,107.0,13.0,-0.3,1.7,13.3,25.0,ORL,NBA,59.0,15.0,845.0,5.5,9.8,5.5,9.7,0.0,0.1,2.1,3.9,7.1,10.7,17.9,0.5,1.0,3.0,3.1,8.5,13.1,0.562,0.565,0.0,0.562,0.531,0.568,2014,C,3,Backup Inside Big,1.8190356640402017,-6.987111649757633,-0.3008280175778004
Matthew Dellavedova,111,2014-15,109.0,12.6,-0.2,1.9,8.5,24.0,CLE,NBA,67.0,13.0,1380.0,4.2,11.6,1.6,5.3,2.6,6.3,1.1,1.4,1.4,3.4,4.7,7.7,0.9,0.1,2.3,5.7,12.0,0.36200000000000004,0.307,0.40700000000000003,0.47200000000000003,0.763,0.493,2014,SG,5,Perimeter Scorer,-5.286312729012049,-0.16009462792832072,0.27619390881558237
Luol Deng,109,2014-15,110.0,19.5,1.5,5.4,15.5,29.0,MIA,NBA,72.0,72.0,2421.0,8.0,17.2,6.3,12.4,1.7,4.8,4.2,5.5,2.2,6.0,8.2,3.0,1.4,0.5,2.4,2.4,22.0,0.469,0.513,0.355,0.518,0.7609999999999999,0.561,2014,SF,8,All Star,0.9132339868312104,0.8471301122438636,1.1228973643698186
DeMar DeRozan,109,2014-15,104.0,28.4,0.2,4.0,17.4,25.0,TOR,NBA,60.0,60.0,2100.0,10.1,24.4,9.5,22.2,0.6,2.2,8.9,10.7,1.0,5.8,6.8,5.2,1.8,0.3,3.4,3.0,29.6,0.413,0.426,0.284,0.426,0.8320000000000001,0.51,2014,SG,2,Do It All,2.8693587183215508,3.9805821821186806,-3.2390478899816193
Boris Diaw,105,2014-15,103.0,18.3,1.1,3.6,12.7,32.0,SAS,NBA,81.0,15.0,1984.0,7.5,16.3,6.1,11.9,1.4,4.4,1.9,2.4,2.0,7.0,9.0,6.0,0.9,0.6,3.3,3.8,18.3,0.46,0.512,0.32,0.503,0.774,0.526,2014,PF,7,Elite Wing,-0.3324600639109725,-0.21065030331461693,0.0015450083518587718
Gorgui Dieng,108,2014-15,113.0,15.0,2.5,4.9,17.2,25.0,MIN,NBA,73.0,49.0,2193.0,6.0,11.9,6.0,11.7,0.0,0.1,4.4,5.7,5.2,8.9,14.1,3.4,1.6,2.9,2.9,4.4,16.5,0.506,0.51,0.16699999999999998,0.507,0.7829999999999999,0.573,2014,C,9,Elite Inside Big,2.3740321063928795,-2.921380168388622,0.32741402700300964
Spencer Dinwiddie,107,2014-15,92.0,21.1,-0.2,0.1,10.2,21.0,DET,NBA,34.0,1.0,455.0,5.8,19.2,4.4,11.8,1.4,7.4,3.5,3.9,0.5,5.0,5.5,11.8,2.2,0.7,3.8,6.0,16.5,0.302,0.375,0.185,0.337,0.912,0.39399999999999996,2014,PG,5,Perimeter Scorer,-3.644707870978264,2.149886628243723,-4.428195771438481
Joey Dorsey,100,2014-15,103.0,11.3,0.1,1.9,11.1,31.0,HOU,NBA,69.0,17.0,854.0,4.7,8.4,4.7,8.4,0.0,0.1,1.4,4.8,6.0,10.2,16.2,1.5,2.3,1.5,2.4,9.1,10.7,0.552,0.556,0.0,0.552,0.289,0.507,2014,PF,3,Backup Inside Big,0.49837254548880094,-7.336441791273167,-1.112327556711851
Goran Dragić,110,2014-15,112.0,21.8,2.1,6.8,17.4,28.0,TOT,NBA,78.0,78.0,2640.0,9.7,19.3,7.9,14.3,1.7,5.0,3.5,4.5,1.6,3.7,5.3,6.7,1.5,0.3,3.3,3.8,24.5,0.501,0.555,0.34700000000000003,0.546,0.774,0.5770000000000001,2014,SG-PG,8,All Star,1.9193013476431178,1.9261751419202082,1.4306342769425766
Goran Dragić,110,2014-15,112.0,21.8,2.1,6.8,17.4,28.0,TOT,NBA,78.0,78.0,2640.0,9.7,19.3,7.9,14.3,1.7,5.0,3.5,4.5,1.6,3.7,5.3,6.7,1.5,0.3,3.3,3.8,24.5,0.501,0.555,0.34700000000000003,0.546,0.774,0.5770000000000001,2014,SG,8,All Star,1.9193013476431178,1.9261751419202082,1.4306342769425766
Goran Dragić,110,2014-15,112.0,21.8,2.1,6.8,17.4,28.0,TOT,NBA,78.0,78.0,2640.0,9.7,19.3,7.9,14.3,1.7,5.0,3.5,4.5,1.6,3.7,5.3,6.7,1.5,0.3,3.3,3.8,24.5,0.501,0.555,0.34700000000000003,0.546,0.774,0.5770000000000001,2014,PG,8,All Star,1.9193013476431178,1.9261751419202082,1.4306342769425766
Andre Drummond,100,2014-15,107.0,22.0,1.2,7.7,21.4,21.0,DET,NBA,82.0,82.0,2502.0,10.2,19.9,10.2,19.8,0.0,0.0,2.9,7.5,9.0,13.8,22.8,1.1,1.5,3.2,2.5,5.9,23.4,0.514,0.515,0.0,0.514,0.389,0.504,2014,C,6,Star Inside Big,6.301012777812708,-4.420414166987563,-2.764113381540896
Jared Dudley,104,2014-15,112.0,13.5,1.1,4.1,12.3,29.0,MIL,NBA,72.0,22.0,1717.0,5.9,12.6,3.7,6.9,2.2,5.7,1.4,2.0,1.3,5.2,6.5,3.9,2.1,0.3,1.8,3.4,15.4,0.46799999999999997,0.537,0.385,0.556,0.716,0.5720000000000001,2014,SG,7,Elite Wing,-1.623764921593886,-0.9721705569909694,2.663545347066099
Tim Duncan,97,2014-15,113.0,22.2,4.2,9.6,22.6,38.0,SAS,NBA,77.0,77.0,2227.0,9.6,18.8,9.6,18.7,0.0,0.2,5.3,7.1,3.9,12.3,16.2,5.3,1.4,3.5,3.0,3.8,24.6,0.512,0.514,0.28600000000000003,0.513,0.74,0.56,2014,C,6,Star Inside Big,6.28962309887905,-1.0038000751806067,-0.5817540760434897
Mike Dunleavy,106,2014-15,113.0,14.2,1.1,4.1,11.6,34.0,CHI,NBA,63.0,63.0,1838.0,5.9,13.5,2.9,6.1,3.0,7.4,2.0,2.4,0.8,6.2,7.0,3.2,1.1,0.6,1.7,3.5,16.7,0.435,0.46799999999999997,0.40700000000000003,0.546,0.805,0.573,2014,SF,7,Elite Wing,-2.0791376328008453,-0.2298031767813637,2.8032093057335077
Kevin Durant,105,2014-15,121.0,29.1,1.9,4.8,27.6,26.0,OKC,NBA,27.0,27.0,913.0,13.1,25.6,9.6,16.9,3.5,8.7,8.0,9.4,0.9,8.9,9.8,6.0,1.3,1.4,4.1,2.2,37.7,0.51,0.565,0.40299999999999997,0.578,0.8540000000000001,0.633,2014,SF,8,All Star,6.341353871780087,4.644687258641282,1.7131487551769693
Cleanthony Early,110,2014-15,87.0,19.6,-0.5,-0.4,8.4,23.0,NYK,NBA,39.0,7.0,647.0,6.2,17.4,4.4,10.6,1.8,6.8,2.9,3.9,1.8,6.1,7.9,2.9,2.0,1.0,3.3,4.6,17.1,0.355,0.415,0.262,0.40700000000000003,0.75,0.447,2014,SF,5,Perimeter Scorer,-3.2444373847898906,0.3921511199477733,-2.9744015190590964
Wayne Ellington,114,2014-15,103.0,18.5,-0.4,1.2,11.6,27.0,LAL,NBA,65.0,36.0,1675.0,7.7,18.8,5.0,11.4,2.7,7.4,1.6,2.0,0.9,5.5,6.4,3.2,1.0,0.1,1.5,2.3,19.8,0.41200000000000003,0.439,0.37,0.485,0.813,0.504,2014,SG,1,3&D,-2.7106279850189012,1.3644285926509943,0.466243650208696
Monta Ellis,107,2014-15,100.0,27.9,1.3,3.6,16.5,29.0,DAL,NBA,80.0,80.0,2699.0,11.3,25.3,9.7,20.0,1.5,5.3,4.3,5.7,0.6,2.9,3.6,6.1,2.8,0.5,3.7,3.7,28.3,0.445,0.48700000000000004,0.285,0.475,0.752,0.509,2014,SG,2,Do It All,1.7895690585171222,3.7430015307738596,-2.0790213168797833
James Ennis,108,2014-15,110.0,14.6,0.1,1.9,11.5,24.0,MIA,NBA,62.0,3.0,1051.0,5.1,12.4,3.5,7.6,1.6,4.8,4.0,4.7,2.6,6.3,8.8,2.4,1.3,0.9,2.0,4.5,15.7,0.409,0.461,0.326,0.47200000000000003,0.84,0.541,2014,SF,1,3&D,-1.8616388116331914,-1.0191290605635754,0.5840335491373695
Tyler Ennis,105,2014-15,83.0,20.6,-0.5,-0.3,7.3,20.0,TOT,NBA,33.0,1.0,411.0,6.4,17.8,4.9,12.5,1.5,5.3,0.6,0.9,0.9,3.5,4.3,9.0,2.2,0.6,5.2,4.5,15.0,0.361,0.396,0.27899999999999997,0.40299999999999997,0.7140000000000001,0.41100000000000003,2014,PG,5,Perimeter Scorer,-4.102840872336797,1.138105590906657,-4.201817126906744
